ID,Customer_Age,Churn,CHI_Score_Month,CHI_Score,Support_Cases_Month,Support_Cases,SP_Month,SP,Logins,Blog_Articles,Views, Days_Since_Last_Login
 61 ,47,0,7.00,7.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,31.00
 62 ,48,0,14.00,14.00,0.00,0.00,0.00,0.00,4.00,0.00,-5.00,31.00
 63 ,47,0,53.00,-27.00,0.00,0.00,0.00,0.00,-4.00,0.00,41.00,4.00
 64 ,48,0,39.00,-52.00,0.00,0.00,0.00,0.00,-1.00,0.00,33.00,-5.00
 65 ,48,0,103.00,4.00,0.00,-3.00,0.00,-3.00,14.00,0.00,-9.00,0.00
 66 ,13,1,122.00,31.00,6.00,4.00,3.00,0.00,94.00,4.00,-1.00,-9.00
 67 ,48,0,109.00,50.00,0.00,-1.00,0.00,-2.00,2.00,1.00,-221.00,13.00
 68 ,43,0,0.00,0.00,1.00,1.00,2.00,2.00,0.00,0.00,0.00,31.00
 69 ,46,0,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,31.00
 70 ,47,0,145.00,10.00,0.00,0.00,0.00,0.00,38.00,0.00,-5083.00,0.00
 71 ,48,0,108.00,33.00,0.00,0.00,0.00,0.00,6.00,0.00,993.00,31.00
 72 ,45,0,45.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,-13.00,3.00
 73 ,47,0,193.00,0.00,0.00,0.00,0.00,0.00,47.00,1.00,83.00,-1.00
 74 ,47,0,101.00,39.00,0.00,0.00,0.00,0.00,24.00,1.00,-2.00,2.00
 75 ,47,0,17.00,-10.00,0.00,0.00,0.00,0.00,-4.00,0.00,2.00,-10.00
 76 ,45,0,1.00,-70.00,0.00,0.00,0.00,0.00,-7.00,-1.00,0.00,3.00
 77 ,46,0,158.00,2.00,0.00,-1.00,0.00,-3.00,5.00,-4.00,12.00,3.00
 78 ,38,0,198.00,-15.00,0.00,0.00,0.00,0.00,21.00,0.00,-172.00,0.00
 79 ,38,0,77.00,-2.00,0.00,0.00,0.00,0.00,-3.00,0.00,716.00,-1.00
 80 ,47,0,82.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,3.00
 81 ,46,0,94.00,10.00,1.00,1.00,3.00,3.00,42.00,0.00,-63.00,-24.00
 82 ,28,0,152.00,-4.00,0.00,0.00,0.00,0.00,19.00,0.00,9.00,-2.00
 83 ,46,0,125.00,15.00,1.00,1.00,3.00,3.00,11.00,0.00,-100.00,3.00
 84 ,47,0,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
 85 ,43,0,166.00,-1.00,0.00,0.00,0.00,0.00,10.00,-1.00,1304.00,-1.00
 86 ,46,0,61.00,-11.00,1.00,1.00,3.00,3.00,10.00,0.00,-35.00,15.00
 87 ,42,0,97.00,2.00,0.00,-1.00,0.00,-3.00,-28.00,0.00,0.00,0.00
 88 ,46,0,74.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-3.00
 89 ,46,0,4.00,4.00,1.00,1.00,2.00,2.00,10.00,0.00,0.00,31.00
 90 ,46,0,145.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,629.00,0.00
 91 ,45,0,75.00,-17.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-3.00
 92 ,46,0,79.00,13.00,0.00,0.00,0.00,0.00,-4.00,0.00,4.00,-22.00
 93 ,46,0,175.00,10.00,0.00,0.00,0.00,0.00,22.00,0.00,-1419.00,0.00
 94 ,44,1,0.00,-12.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,-90.00
 95 ,46,0,6.00,6.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,31.00
 96 ,46,0,85.00,-36.00,0.00,0.00,0.00,0.00,2.00,-1.00,-37.00,-4.00
 97 ,45,0,59.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,-57.00,31.00
 98 ,46,0,109.00,-13.00,0.00,0.00,0.00,0.00,1.00,-2.00,158.00,-9.00
 99 ,44,0,87.00,45.00,0.00,0.00,0.00,0.00,10.00,1.00,-4.00,30.00
 100 ,45,0,161.00,-10.00,0.00,0.00,0.00,0.00,-10.00,-4.00,71.00,0.00
 101 ,41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,31.00
 102 ,45,0,169.00,-8.00,9.00,-5.00,3.00,0.00,54.00,0.00,345.00,0.00
 103 ,44,0,88.00,22.00,0.00,-1.00,0.00,-3.00,30.00,0.00,-5.00,2.00
 104 ,28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 105 ,42,1,26.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,-5.00
 106 ,38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
 107 ,45,0,155.00,-6.00,0.00,0.00,0.00,0.00,-1.00,-4.00,127.00,0.00
 108 ,45,0,71.00,-11.00,0.00,0.00,0.00,0.00,-15.00,-1.00,0.00,0.00
 109 ,40,0,0.00,-125.00,0.00,0.00,0.00,0.00,-8.00,0.00,-216.00,6.00
 110 ,44,0,0.00,-6.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,-72.00
 111 ,29,0,103.00,-8.00,0.00,0.00,0.00,0.00,3.00,3.00,15.00,-70.00
 112 ,45,0,39.00,23.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,31.00
 113 ,43,0,42.00,10.00,0.00,0.00,0.00,0.00,6.00,0.00,-6.00,30.00
 114 ,45,0,73.00,-6.00,0.00,0.00,0.00,0.00,6.00,0.00,-1.00,-24.00
 115 ,45,0,58.00,38.00,0.00,0.00,0.00,0.00,6.00,0.00,-20.00,5.00
 116 ,45,0,68.00,-7.00,1.00,1.00,0.00,0.00,22.00,0.00,-7.00,31.00
 117 ,45,0,89.00,-5.00,0.00,-2.00,0.00,-3.00,-61.00,0.00,1013.00,0.00
 118 ,45,0,138.00,4.00,0.00,0.00,0.00,0.00,-8.00,0.00,534.00,-29.00
 119 ,42,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 120 ,45,0,90.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,-73.00,0.00
 121 ,45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 122 ,43,0,48.00,-11.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,3.00
 123 ,44,0,10.00,-25.00,0.00,-1.00,0.00,-2.00,-4.00,0.00,-5.00,18.00
 124 ,44,0,106.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,30.00,4.00
 125 ,44,0,128.00,35.00,0.00,-3.00,0.00,-3.00,-7.00,1.00,0.00,-15.00
 126 ,45,0,90.00,-5.00,0.00,0.00,0.00,0.00,21.00,0.00,-39.00,2.00
 127 ,45,0,47.00,-21.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,3.00
 128 ,41,0,31.00,-26.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.00,31.00
 129 ,45,0,191.00,-1.00,0.00,0.00,0.00,0.00,12.00,-1.00,-28.00,0.00
 130 ,45,0,45.00,10.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,2.00
 131 ,45,0,121.00,90.00,1.00,1.00,3.00,3.00,184.00,4.00,17.00,-7.00
 132 ,44,0,76.00,32.00,0.00,0.00,0.00,0.00,18.00,0.00,2.00,31.00
 133 ,44,0,50.00,25.00,0.00,0.00,0.00,0.00,4.00,0.00,100.00,-187.00
 134 ,43,0,101.00,84.00,0.00,0.00,0.00,0.00,6.00,1.00,38.00,30.00
 135 ,44,0,74.00,-38.00,0.00,0.00,0.00,0.00,0.00,-2.00,243.00,0.00
 136 ,44,0,105.00,-5.00,0.00,0.00,0.00,0.00,1.00,0.00,669.00,18.00
 137 ,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 138 ,41,0,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
 139 ,44,0,55.00,-73.00,2.00,-1.00,3.00,0.00,-39.00,-3.00,-45.00,-1.00
 140 ,43,0,91.00,-50.00,0.00,-3.00,0.00,-3.00,-18.00,-2.00,2034.00,-4.00
 141 ,45,0,19.00,-1.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,-3.00
 142 ,43,0,15.00,-27.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,11.00
 143 ,44,0,59.00,0.00,0.00,0.00,0.00,0.00,14.00,1.00,0.00,0.00
 144 ,43,0,70.00,-6.00,0.00,0.00,0.00,0.00,-4.00,-3.00,0.00,1.00
 145 ,44,0,180.00,2.00,0.00,0.00,0.00,0.00,36.00,5.00,-1698.00,0.00
 146 ,42,0,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
 147 ,43,0,38.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00
 148 ,42,0,116.00,-1.00,0.00,0.00,0.00,0.00,12.00,0.00,-61.00,31.00
 149 ,44,0,95.00,-15.00,0.00,0.00,0.00,0.00,-11.00,0.00,6.00,10.00
 150 ,44,0,181.00,-2.00,0.00,0.00,0.00,0.00,20.00,-1.00,1544.00,0.00
 151 ,43,0,90.00,10.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00
 152 ,40,0,120.00,2.00,1.00,1.00,2.00,2.00,35.00,0.00,35.00,3.00
 153 ,38,1,116.00,1.00,1.00,0.00,3.00,0.00,41.00,1.00,0.00,-26.00
 154 ,43,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,31.00
 155 ,43,0,193.00,15.00,3.00,1.00,3.00,0.50,9.00,1.00,-7657.00,0.00
 156 ,41,1,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 157 ,43,0,105.00,0.00,0.00,0.00,0.00,0.00,-4.00,0.00,0.00,-2.00
 158 ,42,0,33.00,-12.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,5.00
 159 ,43,0,93.00,-20.00,0.00,0.00,0.00,0.00,-4.00,0.00,-3745.00,-4.00
 160 ,42,0,80.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,21.00
 161 ,42,0,81.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,2.00,-3.00
 162 ,43,0,172.00,37.00,0.00,0.00,0.00,0.00,11.00,2.00,3460.00,2.00
 163 ,42,0,36.00,-4.00,0.00,0.00,0.00,0.00,-1.00,0.00,-3.00,27.00
 164 ,43,0,188.00,0.00,0.00,-1.00,0.00,-3.00,5.00,0.00,1708.00,0.00
 165 ,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 166 ,43,0,51.00,-35.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,-89.00
 167 ,43,0,83.00,-61.00,0.00,0.00,0.00,0.00,8.00,0.00,-3.00,-2.00
 168 ,42,0,88.00,-7.00,0.00,0.00,0.00,0.00,-10.00,0.00,-2611.00,1.00
 169 ,42,0,40.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-3.00,-23.00
 170 ,43,0,68.00,-1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,-67.00
 171 ,42,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 172 ,43,0,136.00,9.00,0.00,0.00,0.00,0.00,21.00,0.00,-200.00,-5.00
 173 ,43,0,171.00,47.00,3.00,3.00,3.00,3.00,85.00,0.00,3.00,0.00
 174 ,42,0,63.00,20.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,31.00
 175 ,43,0,63.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 176 ,43,0,122.00,-44.00,0.00,-1.00,0.00,-3.00,-3.00,-3.00,705.00,-4.00
 177 ,42,0,60.00,0.00,1.00,1.00,3.00,3.00,30.00,0.00,0.00,0.00
 178 ,42,0,76.00,-8.00,0.00,0.00,0.00,0.00,12.00,0.00,1580.00,31.00
 179 ,42,0,44.00,-11.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,-1.00
 180 ,42,0,114.00,18.00,1.00,0.00,3.00,0.00,33.00,6.00,0.00,4.00
 181 ,42,0,69.00,69.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,31.00
 182 ,42,0,85.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,-3.00
 183 ,42,0,0.00,-17.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,25.00
 184 ,42,0,131.00,-2.00,0.00,0.00,0.00,0.00,2.00,0.00,489.00,31.00
 185 ,41,0,60.00,29.00,0.00,0.00,0.00,0.00,4.00,0.00,-285.00,10.00
 186 ,42,0,189.00,2.00,2.00,2.00,3.00,3.00,32.00,2.00,-145.00,0.00
 187 ,42,0,178.00,-1.00,1.00,0.00,3.00,0.00,21.00,-1.00,104.00,0.00
 188 ,42,0,105.00,5.00,0.00,0.00,0.00,0.00,-9.00,0.00,0.00,0.00
 189 ,42,0,148.00,-14.00,1.00,0.00,2.00,-1.00,28.00,2.00,723.00,0.00
 190 ,42,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.00
 191 ,41,0,104.00,-10.00,0.00,0.00,0.00,0.00,6.00,0.00,2.00,0.00
 192 ,42,0,44.00,-25.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,-95.00
 193 ,42,0,118.00,79.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,18.00
 194 ,42,0,16.00,10.00,2.00,2.00,3.00,3.00,19.00,0.00,0.00,-92.00
 195 ,42,0,183.00,31.00,5.00,3.00,3.00,0.00,82.00,-4.00,124.00,0.00
 196 ,42,0,120.00,-10.00,0.00,0.00,0.00,0.00,5.00,0.00,-166.00,0.00
 197 ,40,0,107.00,-7.00,1.00,1.00,3.00,3.00,-33.00,-4.00,-22.00,-3.00
 198 ,40,0,165.00,30.00,2.00,2.00,3.00,3.00,52.00,0.00,-28.00,1.00
 199 ,41,0,130.00,18.00,0.00,0.00,0.00,0.00,13.00,-2.00,-380.00,0.00
 200 ,40,1,130.00,0.00,1.00,1.00,3.00,3.00,-7.00,0.00,-87.00,4.00
 201 ,41,0,145.00,18.00,4.00,3.00,3.00,0.00,15.00,0.00,33.00,-3.00
 202 ,40,0,115.00,10.00,0.00,0.00,0.00,0.00,16.00,1.00,5.00,-3.00
 203 ,39,0,15.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.00,31.00
 204 ,36,1,105.00,-1.00,0.00,0.00,0.00,0.00,26.00,0.00,-61.00,-1.00
 205 ,40,0,73.00,50.00,0.00,0.00,0.00,0.00,10.00,0.00,1300.00,31.00
 206 ,13,0,121.00,-15.00,0.00,0.00,0.00,0.00,1.00,-1.00,266.00,0.00
 207 ,13,0,3.00,0.00,2.00,1.00,3.00,3.00,19.00,0.00,0.00,-16.00
 208 ,7,0,141.00,22.00,2.00,1.00,3.00,0.00,70.00,0.00,72.00,-3.00
 209 ,14,0,165.00,67.00,2.00,1.00,3.00,0.00,97.00,15.00,-1.00,-9.00
 210 ,14,0,36.00,-44.00,0.00,-1.00,0.00,-3.00,6.00,0.00,150.00,2.00
 211 ,12,1,143.00,37.00,0.00,0.00,0.00,0.00,50.00,3.00,18.00,28.00
 212 ,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
 213 ,14,0,124.00,-6.00,0.00,0.00,0.00,0.00,-7.00,0.00,28.00,7.00
 214 ,14,0,150.00,50.00,0.00,0.00,0.00,0.00,-13.00,2.00,76.00,0.00
 215 ,14,0,109.00,-3.00,0.00,0.00,0.00,0.00,2.00,0.00,463.00,9.00
 216 ,13,0,118.00,-1.00,1.00,1.00,3.00,3.00,41.00,-2.00,5.00,0.00
 217 ,12,0,215.00,8.00,2.00,1.00,3.00,1.00,17.00,-4.00,4914.00,0.00
 218 ,14,0,150.00,-44.00,0.00,0.00,0.00,0.00,-1.00,-4.00,14868.00,-16.00
 219 ,11,0,158.00,32.00,0.00,0.00,0.00,0.00,33.00,0.00,-41.00,0.00
 220 ,11,0,87.00,20.00,0.00,0.00,0.00,0.00,27.00,0.00,-76.00,0.00
 221 ,14,0,173.00,9.00,1.00,-1.00,3.00,0.00,27.00,0.00,-785.00,0.00
 222 ,12,0,119.00,-16.00,0.00,0.00,0.00,0.00,45.00,2.00,-301.00,0.00
 223 ,13,0,167.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,29.00,-3.00
 224 ,14,0,115.00,16.00,0.00,0.00,0.00,0.00,-8.00,0.00,-11.00,7.00
 225 ,13,0,165.00,77.00,0.00,-1.00,0.00,-3.00,42.00,0.00,-117.00,-4.00
 226 ,14,0,59.00,-11.00,0.00,0.00,0.00,0.00,72.00,0.00,-11.00,-2.00
 227 ,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,31.00
 228 ,14,0,5.00,-21.00,0.00,0.00,0.00,0.00,-1.00,0.00,-711.00,15.00
 229 ,14,0,162.00,53.00,0.00,0.00,0.00,0.00,-23.00,-2.00,4.00,-18.00
 230 ,14,0,174.00,-3.00,0.00,-3.00,0.00,-3.00,30.00,-2.00,26.00,0.00
 231 ,14,0,192.00,8.00,1.00,0.00,3.00,-1.00,84.00,-1.00,-5.00,0.00
 232 ,14,0,162.00,5.00,2.00,-2.00,3.00,0.00,-1.00,0.00,224.00,4.00
 233 ,14,0,172.00,-3.00,1.00,-2.00,3.00,0.00,39.00,0.00,-229.00,0.00
 234 ,14,0,167.00,-7.00,1.00,1.00,3.00,3.00,39.00,-7.00,-436.00,0.00
 235 ,8,0,129.00,-9.00,0.00,-1.00,0.00,-3.00,61.00,0.00,182.00,-2.00
 236 ,14,0,78.00,-6.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00
 237 ,14,0,53.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.00,7.00
 238 ,14,0,75.00,9.00,0.00,0.00,0.00,0.00,13.00,0.00,-8.00,29.00
 239 ,14,1,26.00,-1.00,0.00,0.00,0.00,0.00,4.00,0.00,-10.00,-3.00
 240 ,13,0,0.00,-22.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,30.00
 241 ,13,0,120.00,-44.00,0.00,0.00,0.00,0.00,49.00,-1.00,-99.00,0.00
 242 ,12,0,178.00,-33.00,5.00,-1.00,3.00,0.00,1.00,-2.00,-114.00,-1.00
 243 ,13,0,188.00,1.00,0.00,-1.00,0.00,-3.00,8.00,-1.00,-41.00,-8.00
 244 ,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 245 ,14,0,133.00,0.00,2.00,2.00,3.00,3.00,39.00,0.00,-45.00,3.00
 246 ,13,0,35.00,-81.00,0.00,0.00,0.00,0.00,-12.00,-2.00,8.00,7.00
 247 ,12,0,113.00,-2.00,0.00,-1.00,0.00,-3.00,3.00,1.00,-11.00,-1.00
 248 ,13,0,171.00,-21.00,0.00,0.00,0.00,0.00,54.00,-3.00,1091.00,-1.00
 249 ,10,0,71.00,0.00,1.00,0.00,3.00,0.00,6.00,0.00,10.00,-1.00
 250 ,14,0,165.00,30.00,0.00,-1.00,0.00,-3.00,41.00,2.00,-54.00,-2.00
 251 ,14,0,93.00,-27.00,0.00,-2.00,0.00,-3.00,-37.00,0.00,333.00,0.00
 252 ,14,0,138.00,7.00,1.00,1.00,3.00,3.00,39.00,3.00,-31.00,3.00
 253 ,13,0,151.00,-1.00,0.00,0.00,0.00,0.00,4.00,-1.00,-2.00,-14.00
 254 ,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 255 ,14,0,144.00,28.00,2.00,-3.00,3.00,0.00,7.00,3.00,-509.00,6.00
 256 ,11,0,59.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,-84.00,-3.00
 257 ,12,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
 258 ,14,0,131.00,-9.00,0.00,0.00,0.00,0.00,-9.00,1.00,40.00,-1.00
 259 ,14,0,134.00,-1.00,0.00,0.00,0.00,0.00,3.00,0.00,-19.00,0.00
 260 ,13,0,106.00,8.00,3.00,1.00,3.00,0.00,-20.00,1.00,-29.00,0.00
 261 ,12,0,130.00,-13.00,1.00,-3.00,3.00,0.00,20.00,1.00,278.00,-2.00
 262 ,13,0,88.00,9.00,0.00,0.00,0.00,0.00,11.00,0.00,28.00,-2.00
 263 ,13,0,187.00,47.00,4.00,2.00,3.00,0.00,28.00,1.00,44.00,0.00
 264 ,13,0,176.00,14.00,0.00,0.00,0.00,0.00,15.00,4.00,-102.00,0.00
 265 ,14,0,86.00,8.00,0.00,0.00,0.00,0.00,8.00,4.00,0.00,-4.00
 266 ,12,1,70.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.00,30.00
 267 ,13,1,147.00,1.00,2.00,2.00,3.00,3.00,24.00,0.00,-214.00,-1.00
 268 ,14,0,89.00,56.00,0.00,0.00,0.00,0.00,6.00,1.00,30.00,30.00
 269 ,14,0,137.00,28.00,0.00,0.00,0.00,0.00,49.00,-2.00,-34.00,0.00
 270 ,13,0,39.00,-41.00,2.00,2.00,3.00,3.00,66.00,-1.00,-10.00,-109.00
 271 ,12,0,6.00,-36.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,5.00
 272 ,14,0,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,31.00
